,desc,location,size,value
68,Two houses on 3/4 acre each 25 bedrooms on thigiri road near police station,"Gigiri road , Gigiri, Nairobi",50,300000000
348,An historical 1. 3 acre plot of mature gardens in Old Runda located on a very prime area close to the Village...,"Runda near to the UN , Runda, Nairobi",14,150000000
1082,It's 14bedrooms colonial house on 1. 3acres. Which can be used as a private restrant or residential house selling at 180m. Locate...,"Runda, Nairobi",14,180000000
439,Located close to GERMAN SCHOOL new AUSTRALIA EMBASSY. And two rivers mall. Acosy 12br lovely double storey house sitting on beaut...,"Runda drive, Runda, Nairobi",12,160000000
195,FAETURES: siting on 1acres flat land. N/b. For more information kindly call Digital Africa 0773534836,"Spring valley road , Spring Valley, Nairobi",11,260000000
212,Ambassadorial Palace in spring valley off Peponi road Eleven bedrooms all en suite sitting on one acre. Master bedroom with Jacuz...,"Peponi Rd Kitisuru, Spring Valley, Nairobi",11,280000000
544,This unique and magnificent residential complex is located in the leafy suburbs of Gigiri in a serene and secure environment with...,"Gigiri, Gigiri, Nairobi",11,650000000
115,"Captivating, modern, 10 bedroom with swimming pool Amenities: * Wardrobes. * Spacious Kitchen. *Adequate water Perimeter Security...","Langata Rd, Karen, Nairobi",10,120000000
225,"This property consists of 10 bedrooms, all en-suite suitable for a large family. All rooms are spread evenly around the house giv...",,10,150000000
258,"A contemporary standalone old style 10 bedroom house on 1. 3 acres Beautiful Mature Garden off Ruaka road, old Runda. Private dri...","Ruaka Rd Kitisuru, Runda, Nairobi",10,160000000
269,Large balconies to the bedrooms and the family room. 10 bedrooms all en-suite with the master bedroom fitted with a Jacuzzi. Open...,"Lavington, Lavington, Nairobi",10,380000000
539,"10 bedrooms house for sale in Chalbi drive Lavington , build on an acre . Asking 380, 000, 000","Lavington, Nairobi",10,380000000
605,"Mombasa road, 10bedrooms house all ensuit on 2 acres plot, balcony large entaiment area, 16metres swimming pool, dsq, mature gard...","Mombasa road , Mombasa Rd, Nairobi",10,100000000
