,desc,location,size,value
0,A Lovely And Modern 4 Bedroom House All En Suite in Mombasa Road,"Mombasa Road., Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
1,"Mombasa Rd Near Kapa, 4 Bedroom Maisonette for sale","Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12800000
2,Kitengela Plains,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 12500000
3,6 bedroom House For Sale in Garden Estate,"Garden Estate, Garden Estate, Nairobi, Nairobi",6 Bedrooms,KSh 58000000
4,Villas for sale in Lavington,"Chalbi Drive, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 62000000
5,"Cornerstone Gardens, Kamulu","Kangundo Road., Kangundo Road, Nairobi, Nairobi",3 Bedrooms,KSh 3750000
6,Elegant House in a Gated Community,"Fair Acres Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 94000000
7,Maple Ridge Estate,"Waiyaki Way, Nairobi, Nairobi",3 Bedrooms,KSh 4500000
8,Elegant 4 Bedroom Semi-Detached Townhouse in Langata,"Langata, Langata, Nairobi, Nairobi",4 Bedrooms,KSh 32300000
9,Rosewood Estate,"Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 4250000
10,5 Bedroom House On Grevillea Grove – Elite Garden Villas,"Grevillea Grove, Grevillea Grove, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
11,Pristine Townhouse in Exclusive Location,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 62000000
12,5 BEDROOM 3 LEVEL AMBASSADORIAL VILLA  ON SALE IN KAREN,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
13,4 Bedroom House in Rosslyn,"Rosslyn, Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
14,Elegant 5 Bedroom House in Thigiri Ridge,"Thigiri, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
15,Four Bedroom Exquisite Town Houses in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
16,Prestigious and Unique! Lavington Five Bedroom Townhouse With SQ,"amboselli lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
17,A Living Legend! Lavington Five Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 52000000
18,Suburban Oasis! Runda Mae Ridge 5 bed house,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
19,4 Bedroom Maisonette  at Mirema,"mirema drive, Kasarani, Nairobi, Nairobi",4 Bedrooms,KSh 16500000
20,Grand and cozy! Karen house,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
21,5 BEDROOM VILLA HOUSE ON SALE IN KAREN,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
22,A Luxurious 5 Bedrooms House in Runda,"Close to UN, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 140000000
23,"Unique 4 Bedroom Villas for sale, Runda","Pan Afric Insurance Avenue, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
24,A Homely Six Bedrooms Housed in the Heart of Old Runda,"runda groove, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 90000000
25,Chalbi Drive Homes,"chalbi drive, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
26,"4 bedroom House for sale on Kiambu Road, opposite KIST (Kiambu Institute of Technology)","Kiambu Road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 35000000
27,New 5 bedroom double storey plus DSQ for sale along Bogani Rd in Karen,"Bogani Rd, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
28,World Class 5 Bedrooms all Ensuite Town House in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
29,New 4 bedroom villa  plus DSQ  for sale in Rossylin,"Rosslyn Lone tree, Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 66300000
30,Elegant 5 Bedroom Villas in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
31,6 Bedroom Townhouse Runda,"Pan African Insurance Ave , Runda, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
32,Fairfield Park Mombasa Road,"muthama acess road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
33,RUNDA:STUNNING 6BEDROOM MANSION FOR SALE,"Runda, Nairobi, Nairobi",6 Bedrooms,KSh 250000000
34,Lower Kabete:5 Bedroom Townhouse,"lower kabete road, Lower Kabete, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
35,5 Bedroom Townhouse Karen,"Fair Acres Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
36,Beautiful & Spacious 5 Bedroom Townhouse on Brookside,"WESTLANDS, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
37,"5 Bedroom House for sale, Lavington","Njumbi Road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
38,Spacious and Luxurious Town House Syokimau,"Mombasa road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
39,Spacious 3 Bedroom Maisonette in Karen on 3/4 Acre Plot,"Karen, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 43000000
40,Magnificent 4 Bedrooms House,"Muthaiga, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 200000000
41,World Class 5 Bedrooms with DSQ House for sale in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
42,4 Bedroom Townhouse  for SALE in Runda(gated Community),"mumwe drive, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
43,4 Bedroom House Available for sale in South C,"South C, South C, Nairobi, Nairobi",4 Bedrooms,KSh 20000000
44,Fairfield Park Mombasa Road,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
45,Stunning Classic 6 Bedroom Standalone House in Lavington on 3/4 piece of land,"LAVINGTON, Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 270000000
46,MOMBASA RD OPP. SYOKIMAU - 3 BEDROOMS MAISSONETTE PLUS SQ.,"Mombasa road-Near Nation printers., Mlolongo, Nairobi, Nairobi",3 Bedrooms,KSh 13500000
47,LARGE FAMILY HOME FOR SALE,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
48,3 BEDROOM PLUS SQ MANSIONATE ON SALE IN SYOKIMAU,"Syokimau, Nairobi, Nairobi",3 Bedrooms,KSh 12500000
49,5 Bedroom Townhouse in Runda in a Gated Community,"runda water, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
